"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","<=50K",">50K","wapd"
91,<=50K,0.924521963861201,0.343699565816892,1,22.71,100,0,0.34
95,<=50K,0.895858360127125,0.388305123168233,1,22.71,100,0,0.39
125,<=50K,0.919984463402406,0.0236277973526569,1,22.5,100,0,0.02
140,<=50K,0.976628951657156,0.093473102877816,1,22.92,100,0,0.09
150,<=50K,0.750947147638822,0.707078308100856,1,22.57,0,100,0.71
157,<=50K,0.934738790908613,0.0100244238871062,1,22.62,100,0,0.01
169,<=50K,0.960551465489907,0.052463599606963,1,23.26,100,0,0.05
174,<=50K,0.90834356388782,0.248767251452114,1,23.04,100,0,0.25
189,<=50K,0.929876760013256,0.0172865619092976,1,24.2,100,0,0.02
202,<=50K,0.936758437826765,0.0552092339804967,1,23.03,100,0,0.06
