"","instance","prediction_x_interest","mean_prediction_difference","total_cf","execution_time(s)","0","1"
"1",75,0.69502751298195,0.11,32,1.21,87.5,12.5
"2",255,0.523656236145797,0.15,50,1.2,40,60
"3",505,0.79923775422609,0.2,53,1.23,73.58,26.42
"4",565,0.148639368463256,0.04,50,1.22,0,100
"5",573,0.129283256769154,0.05,31,1.23,0,100
"6",587,0.381217786526051,0.1,68,1.23,1.47,98.53
"7",1210,0.511038251856354,0.12,100,1.21,31,69
"8",1531,0.70040759886321,0.18,65,1.22,66.15,33.85
"9",2409,0.195787177296825,0.05,24,1.22,0,100
"10",2581,0.348249375220988,0.1,77,1.22,0,100
