"instance","prediction_x_interest","mean_prediction_difference","total_cf","execution_time(s)","<=50K",">50K"
91,0.0754780361387991,0.343699565816892,1,22.5,100,0
95,0.104141639872875,0.388305123168233,1,22.72,100,0
125,0.0800155365975939,0.0236277973526569,1,23.13,100,0
140,0.023371048342844,0.093473102877816,1,23.14,100,0
150,0.249052852361178,0.707078308100856,1,22.89,0,100
157,0.065261209091387,0.0100244238871062,1,22.99,100,0
169,0.0394485345100931,0.052463599606963,1,23.01,100,0
174,0.0916564361121801,0.248767251452114,1,22.98,100,0
189,0.070123239986744,0.0172865619092976,1,23.04,100,0
202,0.0632415621732348,0.0552092339804967,1,23.38,100,0
