"instance_id","pred_x_interest","pred_prob_x_interest","mean_prediction_difference","total_cf","execution_time(s)","no","yes","wapd"
75,no,0.662491533263474,0.589922694499277,1,43.07,0,100,0.59
255,no,0.547916892686256,0.517735564409771,1,43.14,0,100,0.52
505,no,0.784878960350679,0.70698985584136,1,42.47,0,100,0.71
565,yes,0.864704121893026,0.0690361467691476,1,42.61,0,100,0.07
573,yes,0.87533698218787,0.0829304278404173,1,42.8,0,100,0.08
587,yes,0.600893084248859,0.359638280250279,1,42.3,0,100,0.36
1210,yes,0.510018168735042,0.420087166212204,1,42.73,0,100,0.42
1531,yes,0.978589814663119,0.00791236107337234,1,42.16,0,100,0.01
2409,yes,0.97250210561169,0.0114233670222015,1,42.64,0,100,0.01
2581,yes,0.99499061026215,0.00105124802178103,1,42.34,0,100,0
